                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.71513,                0.53841,                0.83938,                0.94676,                0.83984,                0.92206,                0.56558,                 0.7497,                 0.5447,                0.83771,               0.006238,               0.006238,               0.006238
                     59,                 0.7187,                0.54012,                 0.8394,                0.91968,                0.86285,                0.91361,                0.56665,                0.74657,                0.53706,                0.83687,               0.006172,               0.006172,               0.006172
                     60,                0.72826,                0.53837,                0.83471,                0.94826,                 0.8728,                0.92902,                0.57074,                0.75666,                0.53061,                 0.8364,               0.006106,               0.006106,               0.006106
                     61,                0.73144,                0.53531,                0.83924,                 0.9337,                0.86885,                0.90698,                0.57125,                0.73079,                 0.5308,                0.83229,                0.00604,                0.00604,                0.00604
                     62,                0.73817,                0.53882,                0.83874,                0.93744,                0.83867,                0.88495,                0.55818,                 0.7525,                0.53117,                0.83564,               0.005974,               0.005974,               0.005974
                     63,                0.74436,                0.53374,                0.84062,                0.92173,                0.86557,                0.91979,                0.56447,                0.75042,                0.53107,                0.83179,               0.005908,               0.005908,               0.005908
                     64,                0.72975,                0.53056,                0.83735,                0.92409,                0.86776,                 0.9228,                0.56417,                0.77464,                0.53666,                 0.8371,               0.005842,               0.005842,               0.005842
                     65,                0.74251,                0.52814,                0.83833,                0.92742,                0.86489,                0.92398,                0.58155,                 0.7495,                0.52113,                0.83291,               0.005776,               0.005776,               0.005776
                     66,                0.75735,                0.53508,                0.83958,                0.92622,                0.86828,                 0.9202,                0.55418,                0.80176,                 0.5357,                0.83705,                0.00571,                0.00571,                0.00571
                     67,                0.76829,                0.53556,                0.83966,                0.88587,                0.88049,                0.91872,                0.58054,                0.77069,                0.53254,                0.83227,               0.005644,               0.005644,               0.005644
                     68,                0.75177,                0.52732,                0.83549,                0.92704,                0.86129,                0.91906,                0.57805,                0.76223,                0.53964,                0.83116,               0.005578,               0.005578,               0.005578
                     69,                0.74293,                0.51794,                0.83537,                0.92215,                0.86417,                0.91814,                0.55866,                0.78457,                0.52845,                0.83047,               0.005512,               0.005512,               0.005512
                     70,                0.74708,                 0.5231,                0.83788,                0.95145,                0.87377,                0.94189,                 0.5686,                0.76336,                0.52613,                0.83066,               0.005446,               0.005446,               0.005446
                     71,                0.75533,                0.52001,                0.83437,                0.94905,                0.87045,                0.94068,                0.58061,                 0.7832,                0.52464,                  0.831,                0.00538,                0.00538,                0.00538
                     72,                0.75889,                0.51851,                0.83263,                0.93549,                0.87091,                0.93016,                0.57877,                 0.7835,                0.52904,                0.82997,               0.005314,               0.005314,               0.005314
                     73,                0.77045,                0.52291,                0.83686,                0.92276,                0.88141,                 0.9165,                0.56567,                0.78108,                0.52857,                0.83122,               0.005248,               0.005248,               0.005248
                     74,                0.76121,                0.51709,                0.83317,                0.93865,                0.86467,                0.92679,                0.58222,                0.80036,                0.52485,                 0.8299,               0.005182,               0.005182,               0.005182
                     75,                0.77398,                0.51743,                0.83334,                0.91535,                0.87014,                0.91798,                0.57829,                0.80942,                0.52823,                0.82946,               0.005116,               0.005116,               0.005116
                     76,                0.76733,                0.51533,                0.83264,                0.94349,                0.86922,                0.93481,                  0.598,                0.81353,                0.51918,                 0.8305,                0.00505,                0.00505,                0.00505
                     77,                0.76867,                0.50971,                 0.8337,                0.93234,                0.85146,                0.92274,                0.57921,                0.81076,                0.52227,                0.82937,               0.004984,               0.004984,               0.004984
                     78,                0.79241,                0.51695,                 0.8357,                0.93545,                0.90039,                0.94246,                 0.5805,                0.80213,                0.51887,                0.83149,               0.004918,               0.004918,               0.004918
                     79,                0.77307,                0.51312,                0.83313,                0.90857,                0.91187,                0.94223,                0.58343,                0.81972,                0.52032,                0.83014,               0.004852,               0.004852,               0.004852
                     80,                0.78727,                0.51304,                 0.8332,                0.92334,                0.85619,                0.92656,                0.58371,                0.82058,                0.51928,                 0.8296,               0.004786,               0.004786,               0.004786
                     81,                0.77851,                0.51007,                0.83347,                 0.9076,                0.89287,                0.91557,                0.58548,                0.84047,                0.51893,                0.83319,                0.00472,                0.00472,                0.00472
                     82,                 0.8006,                0.51094,                0.83374,                0.93696,                0.88777,                0.94068,                0.58581,                0.83865,                0.51943,                0.83069,               0.004654,               0.004654,               0.004654
                     83,                0.79818,                0.50917,                 0.8333,                0.96559,                0.85912,                0.93994,                0.58207,                0.86663,                0.51585,                0.83349,               0.004588,               0.004588,               0.004588
                     84,                0.80958,                0.51381,                0.83175,                0.93303,                0.90587,                0.94579,                0.58085,                0.87217,                0.52128,                0.83293,               0.004522,               0.004522,               0.004522
                     85,                 0.8023,                0.51042,                0.83301,                 0.9328,                0.88784,                0.92177,                0.58291,                0.85089,                0.51694,                0.83052,               0.004456,               0.004456,               0.004456
                     86,                 0.7993,                 0.5023,                0.83226,                0.93849,                0.90264,                0.93929,                0.58605,                0.84738,                0.51181,                0.83001,                0.00439,                0.00439,                0.00439
                     87,                0.80252,                0.50579,                0.83256,                0.93704,                0.87933,                0.94527,                0.60051,                0.85732,                 0.5073,                0.83077,               0.004324,               0.004324,               0.004324
                     88,                0.79828,                0.49822,                0.82941,                0.93717,                0.87909,                0.91691,                0.57806,                0.85231,                0.51392,                0.83044,               0.004258,               0.004258,               0.004258
                     89,                0.81501,                0.50257,                0.83363,                0.93995,                0.88508,                 0.9452,                0.59576,                0.86702,                0.50068,                0.82996,               0.004192,               0.004192,               0.004192
                     90,                0.82571,                0.50262,                0.83325,                0.94495,                0.89295,                0.93885,                0.59187,                0.85973,                0.51098,                0.82941,               0.004126,               0.004126,               0.004126
                     91,                0.81346,                0.50067,                0.83032,                0.94076,                0.87235,                0.91741,                0.59206,                0.88279,                0.51179,                0.82998,                0.00406,                0.00406,                0.00406
                     92,                0.83632,                0.50077,                0.83117,                0.92077,                0.88329,                0.93901,                0.58858,                0.89355,                0.51279,                0.83158,               0.003994,               0.003994,               0.003994
                     93,                0.82173,                  0.498,                0.82841,                0.96185,                0.85924,                0.92408,                0.58401,                0.88127,                0.51347,                0.82796,               0.003928,               0.003928,               0.003928
                     94,                0.81916,                0.49088,                0.82867,                0.95125,                0.86697,                0.92327,                0.59208,                0.88789,                0.50604,                0.83115,               0.003862,               0.003862,               0.003862
                     95,                0.81134,                0.49365,                 0.8284,                0.93549,                0.87867,                0.92666,                0.58931,                0.89252,                0.50664,                0.82997,               0.003796,               0.003796,               0.003796
                     96,                 0.8274,                0.49606,                0.82572,                0.93142,                0.88235,                0.92538,                0.59176,                0.88496,                0.51423,                0.83013,                0.00373,                0.00373,                0.00373
                     97,                 0.8231,                0.48617,                0.82968,                0.91239,                 0.8893,                0.92499,                0.59247,                0.91727,                0.50476,                0.83016,               0.003664,               0.003664,               0.003664
                     98,                0.83477,                0.48966,                 0.8277,                0.94036,                0.88325,                0.91654,                0.58528,                0.91849,                0.50566,                0.83057,               0.003598,               0.003598,               0.003598
                     99,                0.83392,                0.48928,                0.82897,                0.94243,                0.86242,                0.92349,                0.59115,                0.91803,                0.51045,                0.82918,               0.003532,               0.003532,               0.003532
                    100,                0.82543,                0.48795,                0.82503,                0.94277,                 0.8811,                 0.9305,                0.58689,                0.91987,                0.50331,                0.82972,               0.003466,               0.003466,               0.003466
                    101,                 0.8314,                0.48286,                0.82829,                0.95266,                0.87406,                0.93118,                0.59365,                0.90143,                0.49649,                0.82886,                 0.0034,                 0.0034,                 0.0034
                    102,                0.84802,                0.48534,                0.82693,                0.94115,                0.87819,                0.93097,                0.59457,                0.90376,                0.50301,                0.82939,               0.003334,               0.003334,               0.003334
                    103,                 0.8422,                0.48376,                0.82817,                0.93765,                0.88379,                0.92779,                0.59508,                0.93359,                0.50109,                0.82922,               0.003268,               0.003268,               0.003268
                    104,                0.84466,                 0.4855,                 0.8255,                0.92622,                0.88997,                0.91942,                0.59559,                0.93023,                 0.5012,                0.82874,               0.003202,               0.003202,               0.003202
                    105,                0.84062,                0.47954,                0.82696,                0.92219,                0.89594,                0.92105,                 0.5933,                0.92126,                0.49851,                0.82823,               0.003136,               0.003136,               0.003136
                    106,                0.85228,                0.47899,                0.82745,                0.92309,                 0.8966,                0.92095,                0.59239,                0.94539,                 0.4999,                0.82992,                0.00307,                0.00307,                0.00307
                    107,                0.84089,                0.47847,                0.82668,                0.91068,                0.89827,                0.92926,                0.59706,                0.93627,                0.50145,                0.82879,               0.003004,               0.003004,               0.003004
                    108,                0.85155,                0.48098,                 0.8251,                0.91909,                0.90154,                 0.9274,                0.59659,                0.94791,                0.50174,                0.83074,               0.002938,               0.002938,               0.002938
                    109,                0.84385,                0.47862,                0.82665,                0.92631,                0.89172,                0.93014,                0.59233,                0.97077,                0.49971,                0.83127,               0.002872,               0.002872,               0.002872
                    110,                0.85839,                0.47891,                0.82721,                0.92974,                0.89413,                0.93413,                0.59124,                0.96112,                0.50199,                0.83057,               0.002806,               0.002806,               0.002806
                    111,                0.85051,                0.47469,                0.82676,                0.94476,                0.89278,                0.93775,                0.59335,                0.97741,                 0.4988,                0.83156,                0.00274,                0.00274,                0.00274
                    112,                0.84765,                 0.4744,                 0.8267,                 0.9436,                0.88119,                0.92942,                0.59022,                0.98366,                0.50021,                0.83202,               0.002674,               0.002674,               0.002674
                    113,                0.86405,                0.47181,                0.82562,                0.94351,                0.88922,                0.93113,                0.58851,                0.98253,                0.50106,                0.83161,               0.002608,               0.002608,               0.002608
                    114,                0.84783,                0.46805,                0.82403,                0.93937,                0.88611,                0.93179,                 0.5879,                0.99065,                0.49611,                0.83228,               0.002542,               0.002542,               0.002542
                    115,                0.86366,                0.47193,                 0.8255,                0.94005,                0.87861,                0.93258,                0.59631,                0.98334,                0.49633,                0.83153,               0.002476,               0.002476,               0.002476
                    116,                0.86189,                0.46984,                 0.8255,                0.95111,                0.87554,                0.93091,                0.59583,                0.98392,                0.49814,                0.83144,                0.00241,                0.00241,                0.00241
                    117,                0.85728,                0.46826,                0.82884,                0.91887,                 0.8926,                0.92738,                0.59542,                0.97965,                0.49998,                0.83022,               0.002344,               0.002344,               0.002344
                    118,                0.86671,                0.46566,                  0.829,                0.93242,                0.87942,                0.93091,                0.59684,                0.99826,                0.49976,                0.83127,               0.002278,               0.002278,               0.002278
                    119,                0.86428,                 0.4653,                0.82205,                0.92348,                0.89111,                0.92833,                0.59857,                 1.0025,                0.50025,                0.83207,               0.002212,               0.002212,               0.002212
                    120,                0.87227,                0.46947,                0.82199,                0.92754,                  0.883,                 0.9299,                0.59896,                 1.0091,                0.50108,                0.83262,               0.002146,               0.002146,               0.002146
